objectid,parentid,filename,youtubeid,vimeoid,title,creator,date,description,subject,source,identifier,format,language,location,latitude,longitude,type,rights,rightsstatement
coll001,,druecalhoun_transcript_compressed.pdf;,,,"Oral History Interview with Drue Calhoun and Margaret Calhoun, March 27, 1979","Jenkins, Floyd ; Calhoun, Drue; Calhoun, Margaret",1979-03-27,"Interview with Drue Calhoun, an early distributor of automatic gas nozzles, and Margaret Calhoun, his wife and business partner, from Gordon, TX. The interview includes Drue Calhoun discissing his early jobs, his move to Denton, his experience operating service stations during the Great Depression, his marriage with Margaret, his service in the Air Force during World War II running maintenance and working in Air Corps Supply in Canada, his venture into the automatic gasoline nozzle industry, the growth and expansion of his business, his wife's role in supporting the business, and their selling of the business to Charles Kregel.",Distributors; Operators; Great Depression; Nozzles; Service stations - Ownership; Agriculture; Oil and Gas; Transportation - Automobiles; Military and War - Personnel - Veterans; Military and War - United States Armed Forces - United States Air Force; Married people; Gasoline,"University of North Texas Oral History Program, University of North Texas Special Collections",UNTA_U0176-001-012-01,application/pdf,eng,"Gordon, Texas",32.5484637,-98.3692161,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of North Texas Libraries. For other uses beyond free use, please contact University of North Texas Libraries Special Collections and Archives Department.",https://rightsstatements.org/page/NoC-US/1.0/?language=en
coll002,,,,,"Oral History Interview Part 1 with Frank Cuellar Sr. , 1978",,,"Interview (Part 1) with Frank Cuellar, Sr., Mexican American entrepreneur and founder of El Chico Corporation, from Dallas, Texas. The interview includes Cuellar discussing his family’s migration from Mexico, their early life in Texas, his memories of farming, preserving food and surviving without modern conveniences, his early work experiences as a hotel worker, and the beginnings of the Cuellar family’s restaurant ventures that later grew into El Chico.",,"University of North Texas Oral History Program, University of North Texas Special Collections",UNTA_U0176-001-017-01,compound_object,eng,"Dallas, Texas",32.77626132,-96.78910258,record,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of North Texas Libraries. For other uses beyond free use, please contact University of North Texas Libraries Special Collections and Archives Department.",https://rightsstatements.org/page/NoC-US/1.0/?language=en
coll003,coll002,frankcuellar_transcript_compressed.pdf,,,"Oral History Interview Part 1 with Frank Cuellar Sr. , 1978","Jenkins, Floyd ; Cuellar Sr., Frank",1978-07-13,"Interview (Part 1) with Frank Cuellar, Sr., Mexican American entrepreneur and founder of El Chico Corporation, from Dallas, Texas. The interview includes Cuellar discussing his family’s migration from Mexico, their early life in Texas, his memories of farming, preserving food and surviving without modern conveniences, his early work experiences as a hotel worker, and the beginnings of the Cuellar family’s restaurant ventures that later grew into El Chico.",Canning operation; Great Depression; Campbell-Taggert (Firm); Chain restaurant; El Chico Corporation; Food industry and trade; Frozen foods industry; Hispanic American businesspeople; Hispanic Americans; Mexican American Minority Restaurant management; Restaurants; Farms; Agriculture; Government and Law - Texas Laws and Regulation; Social Life and Customs - Food and Cooking - Dining; Mexican American families; Mexican American cooking,"University of North Texas Oral History Program, University of North Texas Special Collections",UNTA_U0176-001-017-01,application/pdf,eng,"Dallas, Texas",32.77626132,-96.78910258,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of North Texas Libraries. For other uses beyond free use, please contact University of North Texas Libraries Special Collections and Archives Department.",https://rightsstatements.org/page/NoC-US/1.0/?language=en
coll004,coll002,elchicocorporation.jpg,,,El Chico Corporation,https://www.elchico.com/gift-cards/,,El Chico Corporation Image,,https://www.elchico.com/gift-cards/,,image/jpeg,eng,"Dallas, Texas",32.77626132,-96.78910258,Image;StillImage,"In Copyright - Educational Use Permitted. For more information, please contact University of North Texas Special Collections at specialcollections@unt.edu. ",https://rightsstatements.org/page/NoC-US/1.0/?language=en
coll005,,,,,"Oral History Interview Part 2 with Frank Cuellar Sr. , 1978",,,"Interview (Part 2) with Frank Cuellar, Sr., Mexican American entrepreneur and founder of El Chico Corporation, from Dallas, Texas. The interview includes Cuellar discussing the founding of El Chico, the business expansion across Texas and other states, his financial struggles with loans, his philosophy surrounding fair wages and employee relations, his involvement in civic organizations, and thoughts on El Chico as a family legacy.",,"University of North Texas Oral History Program, University of North Texas Special Collections",UNTA_U0176-001-017-01,compound_object,eng,"Dallas, Texas",32.77626132,-96.78910258,record,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of North Texas Libraries. For other uses beyond free use, please contact University of North Texas Libraries Special Collections and Archives Department.",https://rightsstatements.org/page/NoC-US/1.0/?language=en
coll006,coll005,frankcuellar_transcript_compressed.pdf,,,"Oral History Interview Part 2 with Frank Cuellar Sr. , 1978","Jenkins, Floyd ; Cuellar Sr., Frank",1978-08-09,"Interview (Part 2) with Frank Cuellar, Sr., Mexican American entrepreneur and founder of El Chico Corporation, from Dallas, Texas. The interview includes Cuellar discussing the founding of El Chico, the business expansion across Texas and other states, his financial struggles with loans, his philosophy surrounding fair wages and employee relations, his involvement in civic organizations, and thoughts on El Chico as a family legacy.",Canning operation; Great Depression; Campbell-Taggert (Firm); Chain restaurant; El Chico Corporation; Food industry and trade; Frozen foods industry; Hispanic American businesspeople; Hispanic Americans; Mexican American Minority Restaurant management; Farms; Agriculture; Government and Law - Texas Laws and Regulation; Social Life and Customs - Food and Cooking - Dining; Mexican American families; Mexican American cooking,"University of North Texas Oral History Program, University of North Texas Special Collections",UNTA_U0176-001-018,application/pdf,eng,"Dallas, Texas",32.77626132,-96.78910258,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of North Texas Libraries. For other uses beyond free use, please contact University of North Texas Libraries Special Collections and Archives Department.",https://rightsstatements.org/page/NoC-US/1.0/?language=en
coll007,coll005,elchicocorporation.jpg,,,El Chico Corporation,https://www.elchico.com/gift-cards/,,El Chico Corporation Image,,https://www.elchico.com/gift-cards/,,image/jpeg,eng,"Dallas, Texas",32.77626132,-96.78910258,Image;StillImage,"In Copyright - Educational Use Permitted. For more information, please contact University of North Texas Special Collections at specialcollections@unt.edu. ",https://rightsstatements.org/page/NoC-US/1.0/?language=en
coll008,,,,,"Oral History Interview with Margaret Clayton, April 29, 1982",,,"Interview with Margaret Clayton, the secretary in treasuries of the Anderson Clayton Brothers Funeral Homes, from Forney, Texas. The interview includes Clayton discussing her family and personal background, her involvement with the company, the development with the Anderson-Clayton Funeral Homes business, the differences between funeral practices from the 1930s versus the 1970s, her experience managing the business during WWII shortages, the advantages of having a family business, her views on government regulations on funeral practices, and her community engagement as a funeral worker.",,"University of North Texas Oral History Program, University of North Texas Special Collections",UNTA_U0176-001-015-01,compound_object,eng,"Forney, Texas",32.74850481,-96.47196529,record,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of North Texas Libraries. For other uses beyond free use, please contact University of North Texas Libraries Special Collections and Archives Department.",https://rightsstatements.org/page/NoC-US/1.0/?language=en
coll009,coll008,margaretclayton_transcript_compressed.pdf,,,"Oral History Interview with Margaret Clayton, April 29, 1982","Jenkins, Floyd ; Clayton, Margaret",1982-04-29,"Interview with Margaret Clayton, the secretary in treasuries of the Anderson Clayton Brothers Funeral Homes, from Forney, Texas. The interview includes Clayton discussing her family and personal background, her involvement with the company, the development with the Anderson-Clayton Funeral Homes business, the differences between funeral practices from the 1930s versus the 1970s, her experience managing the business during WWII shortages, the advantages of having a family business, her views on government regulations on funeral practices, and her community engagement as a funeral worker.","Burials; Civic activities; Trade associations;  Anderson-Clayton Burial Association; Anderson-Clayton Funeral Homes, Inc.; Businesswomen; Great Depression; Family-owned Funeral homes; Undertakers and undertaking - Law and legislation; Women; Military and War - Wars - World War II; Social Life and Customs - Customs - Funerals; Embalming; Funeral rites and ceremonies","University of North Texas Oral History Program, University of North Texas Special Collections",UNTA_U0176-001-015-01,application/pdf,eng,"Forney, Texas",32.74850481,-96.47196529,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of North Texas Libraries. For other uses beyond free use, please contact University of North Texas Libraries Special Collections and Archives Department.",https://rightsstatements.org/page/NoC-US/1.0/?language=en
coll010,coll008,andersonclaytonfuneralcremations.png,,,Anderson-Clayton Funeral Cremations,https://www.andersonclaytonkaufman.com/,,Anderson-Clayton Funeral Cremations Logo,,https://www.andersonclaytonkaufman.com/,,image/jpeg,eng,"Forney, Texas",32.74850481,-96.47196529,Image;StillImage,"In Copyright - Educational Use Permitted. For more information, please contact University of North Texas Special Collections at specialcollections@unt.edu. ",https://rightsstatements.org/page/NoC-US/1.0/?language=en
